command_group,Customer,command_name,object_command
Users,,Add New Users,add-causer
Users,,Add New Users - Customer Tenant,add-causer_tenant_customer
Users,,Unlock User,unlock-causer
Users,,Get User Details,get-causerdetails
,,,
,,,
Groups,,Add Users To Groups,add-CAuserstoGroups
Groups,,Remove Users From Groups,remove-CAusersFromGroup
Groups,,Get Group Members,get-CAgroupmembers
Groups,,Get Group Details,get-CAgroupdetails
,,,
,,,
Accounts,AMBU,Add Admin AMBU account,add_AMBU_admin_account
Accounts,AP,Add Admin AP Local account,add_AP_LOCAL_admin_account
Accounts,Arla,Add Admin Arla Global account,add_ARLG_admin_account
Accounts,Arla,Add Admin Arla CentralOrg account,add_ARLCO_admin_account
Accounts,Arla,Add Admin Arla CentralProd account,add_ARLCP_admin_account
Accounts,Arla,Add Admin Arla SPS account,add_ARLSPS_admin_account
Accounts,AZ,Add Admin AZ account,add_AZ_admin_account
Accounts,ATP,Add Admin ATP.NONPROD account,add_ATPNP_admin_account
Accounts,ATP,Add Admin ATP.NONPRODDMZ account,add_ATPNPDMZ_admin_account
Accounts,ATP,Add Admin ATP.PROD account,add_ATPP_admin_account
Accounts,ATP,Add Admin ATP.PRODDMZ account,add_ATPPDMZ_admin_account
Accounts,BO,Add Admin BO account,add_BO_admin_account
Accounts,BO,Add Admin BO BEOC account,add_BO-BEOC_admin_account
Accounts,BO,Add Admin BO BODMZ account,add_BO-BODMZ_admin_account
Accounts,BO,Add Admin BO BEOLAN account,add_BO-BEOLAN_admin_account
Accounts,BO,Add Admin BO FRD account,add_BO-FRD_admin_account
Accounts,COOP,Add Admin COOP account,add_COOP_admin_account
Accounts,DAF,Add Admin DAF account,add_DAF_admin_account
Accounts,DAF,Add Admin DAF.Test account,add_DAFTEST_admin_account
Accounts,DAF,Add Admin DAF.Kursus account,add_DAFKURS_admin_account
Accounts,DC,Add Admin DC account,add_DC_admin_account
Accounts,DC,Add Admin DC.DMZ account,add_DC_DMZ_admin_account
Accounts,DSB,Add Admin DSB account,add_DSB_admin_account
Accounts,DSB,Add Admin DSB.DMZODIN account,add_DSB_DMZODIN_admin_account
Accounts,DSB,Add Admin DSB.DMZODINTEST account,add_DSB_DMZODINTEST_admin_account
Accounts,DSB,Add Admin DSBEPIS account,add_DSBEPIS_admin_account
Accounts,DSB,Add Admin DSBEPISTST account,add_DSBEPISTST_admin_account
Accounts,DSB,Add Admin DSBEPISUDV account,add_DSBEPISUDV_admin_account
Accounts,DSB,Add Admin DSBF account,add_DSBF_admin_account
Accounts,DSB,Add Admin DSB.S-NET account,add_DSB_SNET_admin_account
Accounts,DSB,Add Admin DSB.TODAT account,add_DSB_TODAT_admin_account
Accounts,DSB,Add Admin DSB.TOPDOM account,add_DSB_TOPDOM_admin_account
Accounts,ENET,Add Admin ENET account,add_ENET_admin_account
Accounts,LNZA,Add Admin LNZA account,add_LNZA_admin_account
Accounts,LU,Add Admin LU account,add_LU_admin_account
Accounts,NH,Add Admin NH account,add_NH_admin_account
Accounts,NN,Add Admin NN CORP account,add_NN-CORP_admin_account
Accounts,NN,Add Admin NN NOVOCORP account,add_NN-NOVOCORP_admin_account
Accounts,NN,Add Admin NN NNSQL account,add_NN-NNSQL_admin_account
Accounts,NL3D,Add Admin NL3D PROD account,add_NL3D-P_admin_account
Accounts,NL3D,Add Admin NL3D PRODDMZ account,add_NL3D-PDMZ_admin_account
Accounts,NL3D,Add Admin NL3D NONPROD account,add_NL3D-NP_admin_account
Accounts,NL3D,Add Admin NL3D NONPRODDMZ account,add_NL3D-NPDMZ_admin_account
Accounts,NL3D,Add Admin NL3D INTEGR account,add_NL3D-I_admin_account
Accounts,NL3D,Add Admin NL3D INTEGRDMZ account,add_NL3D-IDMZ_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS PROD account,add_NL3D-C-NETS-P_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS PRODDMZ account,add_NL3D-C-NETS-PDMZ_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS NONPROD account,add_NL3D-C-NETS-NP_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS NONPRODDMZ account,add_NL3D-C-NETS-NPDMZ_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS INTEGR account,add_NL3D-C-NETS-I_admin_account
Accounts,NL3D,Add Admin NL3D-C NETS INTEGRDMZ account,add_NL3D-C-NETS-IDMZ_admin_account
Accounts,NNE,Add Admin NNE account,add_NNE_admin_account
Accounts,NNE,Add Admin NNE-C account,add_NNE-C_admin_account
Accounts,NNE,Add Priv NNE-C account,add_NNE-C_priv_account
Accounts,NNE,Add Sup NNE-C account,add_NNE-C_sup_account
Accounts,PFA,Add Admin PFA.PROD account,add_PFAP_admin_account
Accounts,PFA,Add Admin PFA.NONPROD account,add_PFANP_admin_account
Accounts,PND,Add Admin PND Global account,add_PNDGLOBAL_extadmnnit_admin_account
Accounts,PND,Add Admin PND Ext account,add_PNDEXT_admin_account
Accounts,PND,Add Admin PND Pap-Store account,add_PNDPAP_admin_account
Accounts,PND,Add Admin PND Test account,add_PNDTEST_admin_account
Accounts,SKAT,Add Admin SKAT Classic account,add_SKAT_admin_account
Accounts,SKAT,Add Admin SKTD DataBank-CCTA account,add_SKTD_admin_account
Accounts,STG,Add Admin STG DT2KMETA account,add_STG_admin_account
Accounts,STG,Add Admin STG DTDMZ account,add_STG-DTDMZ_admin_account
Accounts,TKDA,Add Admin TKDA account,add_TKDA_admin_account
Accounts,AJ,Add Admin VPB - AJ Vaccines account,add_VPB_admin_account
Accounts,VST,Add Admin VST account,add_VST_admin_account
Accounts,VST,Add Admin VST.EXT account,add_VSTEXT_admin_account
,,,
Safes,,Add Personal Safe,add_personalSafe
Safes,,Add Personal Safe - Customer Tenant,add_personalSafe_tenant_customer
,,,
Safes,,Add NOC PPP safe,add_noc_ppp_safe
Safes,,Add NOC Functional Safe,add_noc_functional_safe
,,,
Safes,,Add AMBU PPP safe,add_ambu_ppp_safe
Safes,,Add AMBU Functional Safe,add_ambu_functional_safe
,,,
Safes,,Add AP Pension PPP safe,add_AP_ppp_safe
Safes,,Add AP Pension Functional Safe,add_AP_functional_safe
,,,
Safes,,Add Arla PPP safe,add_ARL_ppp_safe
Safes,,Add Arla Functional Safe,add_ARL_functional_safe
,,,
Safes,,Add AZ PPP safe,add_AZ_ppp_safe
Safes,,Add AZ Functional Safe,add_AZ_functional_safe
,,,
Safes,,Add ATP PPP safe,add_ATP_ppp_safe
Safes,,Add ATP Functional Safe,add_ATP_functional_safe
,,,
Safes,,Add BO PPP safe,add_BO_ppp_safe
Safes,,Add BO Functional Safe,add_BO_functional_safe
,,,
Safes,,Add COOP PPP safe,add_COOP_ppp_safe
Safes,,Add COOP Functional Safe,add_COOP_functional_safe
,,,
Safes,,Add DAF PPP safe,add_daf_ppp_safe
Safes,,Add DAF Functional Safe,add_daf_functional_safe
,,,
Safes,,Add DC PPP safe,add_dc_ppp_safe
Safes,,Add DC Functional Safe,add_dc_functional_safe
,,,
Safes,,Add DSB PPP safe,add_dsb_ppp_safe
Safes,,Add DSB Functional Safe,add_dsb_functional_safe
,,,
Safes,,Add ENET PPP safe,add_enet_ppp_safe
Safes,,Add ENET Functional Safe,add_enet_functional_safe
,,,
Safes,,Add LNZA PPP safe,add_LNZA_ppp_safe
Safes,,Add LNZA Functional Safe,add_LNZA_functional_safe
,,,
Safes,,Add LU PPP safe,add_LU_ppp_safe
Safes,,Add LU Functional Safe,add_LU_functional_safe
,,,
Safes,,Add NH PPP safe,add_nh_ppp_safe
Safes,,Add NH Functional Safe,add_nh_functional_safe
,,,
Safes,,Add NN PPP safe,add_nn_ppp_safe
Safes,,Add NN Functional Safe,add_nn_functional_safe
,,,
Safes,,Add NL3D PPP safe,add_NL3D_ppp_safe
Safes,,Add NL3D Functional Safe,add_NL3D_functional_safe
,,,
Safes,,Add NL3D-C PPP safe,add_NL3D-C_ppp_safe
Safes,,Add NL3D_C Functional Safe,add_NL3D-C_functional_safe
,,,
Safes,,Add NNE PPP safe,add_NNE_ppp_safe
Safes,,Add NNE Functional Safe,add_NNE_functional_safe
,,,
Safes,,Add NNE-C PPP safe,add_NNE-C_ppp_safe
Safes,,Add NNE-C Functional Safe,add_NNE-C_functional_safe
,,,
Safes,,Add PFA PPP safe,add_PFA_ppp_safe
Safes,,Add PFA Functional Safe,add_PFA_functional_safe
,,,
Safes,,Add PND PPP safe,add_PND_ppp_safe
Safes,,Add PND Functional Safe,add_PND_functional_safe
,,,
Safes,,Add SKAT PPP safe,add_SKAT_ppp_safe
Safes,,Add SKAT Functional Safe,add_SKAT_functional_safe
,,,
Safes,,Add SKTD PPP safe,add_SKTD_ppp_safe
Safes,,Add SKTD Functional Safe,add_SKTD_functional_safe
,,,
Safes,,Add STG PPP safe,add_STG_ppp_safe
Safes,,Add STG Functional Safe,add_STG_functional_safe
,,,
Safes,,Add TKDA PPP safe,add_tkda_ppp_safe
Safes,,Add TKDA Functional Safe,add_tkda_functional_safe
,,,
Safes,,Add VPB - AJ Vaccines PPP safe,add_vpb_ppp_safe
Safes,,Add VPB - AJ Vaccines Functional Safe,add_vpb_functional_safe
,,,
Safes,,Add VST PPP safe,add_vst_ppp_safe
Safes,,Add VST Functional Safe,add_vst_functional_safe
,,,
Safes,,Add NNIT PPP safe,add_NNIT_ppp_safe
Safes,,Add NNIT Functional Safe,add_NNIT_functional_safe
,,,
,,,
Safes,,Get Safe Details,get-casafedetails
Safes,,Get Safe Owners List,get-casafeownerslist
Safes,,Get Safe Owners Detailed,get-casafeownersdetailed
